captions,img_id,img_url,topic
MQ8 Fire Scout English 050627N0295M256 St Inigoes Md June 27 2005160 A RQ8A Fire Scout Vertical Takeoff and Landing Tactical Unmanned Aerial Vehicle VTUAV System takes off for a flight demonstration at the 2005 Naval Unmanned Aerial Vehicle Air Demo held at the Webster Field Annex of Naval Air Station Patuxent River Fire Scout has the ability to autonomously take off and land from any aviationcapable warship and at unprepared landing zones With an onstation endurance of over four hours the Fire Scout system is capable of continuous operations providing coverage at 110 nautical miles from the launch site Utilizing a baseline payload that includes electroopticalinfrared sensors and a laser rangefinder designator Fire Scout can find and identify tactical targets track and designate targets accurately provide targeting data to strike platforms employ precision weapons and perform battle damage assessment The daylong UAV demonstration highlights unmanned technology and capabilities from the military and industry and offers a unique opportunity to display and demonstrate fullscale systems and hardware This years theme was160Focusing Unmanned Technology on the Global War on Terror US Navy photo by Photographers Mate 2nd Class Daniel J McLain RELEASED source httpwwwnavymilmanagementphotodbphotos050627N0295M256jpg info httpwwwnavymilviewimageaspid25693,/home/hamed/projects/av_all/images/0.jpg,https://aise.blob.core.windows.net/aise1/0.jpg,-1
A simulation screenshot of a bumblebeesized MAV proposed by the US Air Force in 20081 English A micro air vehicle as proposed by the US Air Force shown in a computer simulation Text on origin website says In this shot taken from computer animation video Friday Nov 21 2008 and released by the US Air Force shows the next generation of drones called Micro Aerial Vehicles or MAVs The MAVs could be as tiny as bumblebees and capable of flying undetected into buildings where they could photograph record and even attack insurgents and terrorists US military engineers are trying to design flying robots disguised as insects that could one day spy on enemies and conduct dangerous missions without risking lives,/home/hamed/projects/av_all/images/1.jpg,https://aise.blob.core.windows.net/aise1/1.jpg,-1
 English Photo by Ron Frazier and Joseph Norton using a DJI Phantom3 pro camera drone,/home/hamed/projects/av_all/images/2.jpg,https://aise.blob.core.windows.net/aise1/2.jpg,-1
 Description Teledyne Ryan Firebee UAV target variant IDF designation Shadmit at Muzeyon Heyl haAvir Hatzerim airbase Israel 2006 Source Photo by me UserBukvoed,/home/hamed/projects/av_all/images/3.jpg,https://aise.blob.core.windows.net/aise1/3.jpg,-1
Micro Air Vehicle with attached surveillance camera 061114N9671T146 China Lake California  The wHoneywell RQ16 THawk wMicro Air Vehicle MAV flies over a simulated combat area during an operational test flight The MAV is in the operational test phase with military Explosive Ordnance Disposal EOD teams to evaluate its shortrange reconnaissance capabilities,/home/hamed/projects/av_all/images/4.jpg,https://aise.blob.core.windows.net/aise1/4.jpg,0
A Ryan Firebee one of a series of target dronesunpiloted aerial vehicles that first flew in 1951 Israeli Air Force Museum Hatzerim airbase Israel 2006 Description Teledyne Ryan Firebee UAV target variant IDF designation Shadmit at Muzeyon Heyl haAvir Hatzerim airbase Israel 2006 Source Photo by me UserBukvoed,/home/hamed/projects/av_all/images/5.jpg,https://aise.blob.core.windows.net/aise1/5.jpg,-1
Aerial overview ,/home/hamed/projects/av_all/images/6.jpg,https://aise.blob.core.windows.net/aise1/6.jpg,21
 English Photo by Ron Frazier and Joseph Norton using a DJI Phantom3 pro camera drone,/home/hamed/projects/av_all/images/7.jpg,https://aise.blob.core.windows.net/aise1/7.jpg,-1
 061114N9671T146 China Lake California  The wHoneywell RQ16 THawk wMicro Air Vehicle MAV flies over a simulated combat area during an operational test flight The MAV is in the operational test phase with military Explosive Ordnance Disposal EOD teams to evaluate its shortrange reconnaissance capabilities,/home/hamed/projects/av_all/images/8.jpg,https://aise.blob.core.windows.net/aise1/8.jpg,0
Remote control of a military drone via aeronautical mobilesatellite OR service Deutsch US Air Force Master Sgt Jennifer Oberg background a communications maintenance instructor and Senior Airman Raquel Martinez foreground check a ground control station during training at March Air Reserve Base Calif April 19 2010 Both are assigned to the 163rd Maintenance Group at March The California Air National Guard unit is primarily involved in Predator unmanned aerial vehicle missions,/home/hamed/projects/av_all/images/9.jpg,https://aise.blob.core.windows.net/aise1/9.jpg,-1
 St Inigoes Md June 27 2005  A Skylark Unmanned Aerial Vehicle UAV on display at the 2005 Naval UAV Air Demo held at the Webster Field Annex of Naval Air Station Patuxent River Skylark is a manpack system for close range over the hill surveillance and reconnaissance The UAV designed for perimeter security border surveillance and law enforcement has a wingspan of 24 meters and has a mission endurance of two hours Its payload can include a color television camera and a forwardlooking infrared sensor The daylong UAV demonstration highlights unmanned technology and capabilities from the military and industry and offers a unique opportunity to display and demonstrate fullscale systems and hardware This years theme was Focusing Unmanned Technology on the Global War on Terror,/home/hamed/projects/av_all/images/10.jpg,https://aise.blob.core.windows.net/aise1/10.jpg,0
Parrot ARDrone 20 takeoff Nevada CES 2012 English Shot in Nevada,/home/hamed/projects/av_all/images/11.jpg,https://aise.blob.core.windows.net/aise1/11.jpg,41
A male T hockingsi drone Tetragonula hockingsi drone,/home/hamed/projects/av_all/images/12.jpg,https://aise.blob.core.windows.net/aise1/12.jpg,50
 English Drone Shot,/home/hamed/projects/av_all/images/13.jpg,https://aise.blob.core.windows.net/aise1/13.jpg,21
Aerial view ,/home/hamed/projects/av_all/images/14.jpg,https://aise.blob.core.windows.net/aise1/14.jpg,21
Camclone T21 UAV fitted with CSIRO guidance system used to inspect power lines 2009 English Unmanned aerial vehicles UAVs offer a costeffective way of inspecting powerlines bridges buildings and cooling towers CSIRO researchers are developing technology that will allow UAVs to safely and reliably perform such tasks with only minimal guidance from a groundbased operator This UAV research is part of the Smart Skies project which will develop and demonstrate automated separation management technologies that allow greater use of the National Airspace System by manned and unmanned aircraft through the integration of information and communication technologies The CSIRO Information and Communication Technologies ICT component of the Smart Skies project will allow UAVs to safely fly close to structures such as powerlines bridges buildings and cooling towers and transit through controlled airspace,/home/hamed/projects/av_all/images/15.jpg,https://aise.blob.core.windows.net/aise1/15.jpg,41
 Winged weaver ant drone,/home/hamed/projects/av_all/images/16.jpg,https://aise.blob.core.windows.net/aise1/16.jpg,50
Aerial view ,/home/hamed/projects/av_all/images/17.jpg,https://aise.blob.core.windows.net/aise1/17.jpg,21
Drone English This remote controlled toy aircraft has four helicoptertype blades flies silently and has several cameras  one pointing down one pointing forwards It hovers a few feet off the floor of the store It is controlled by an IPadtype device Brand name is Parrot model is ARDrone 20,/home/hamed/projects/av_all/images/18.jpg,https://aise.blob.core.windows.net/aise1/18.jpg,-1
DJI Mavic Air in flight English Picture of a DJI Mavic Air flying in the air,/home/hamed/projects/av_all/images/19.jpg,https://aise.blob.core.windows.net/aise1/19.jpg,80
556th Reconnaissance Squadron AQM34L Compass Bin drone English The US Air Force Ryan AQM34L Firebee drone Tom Cat of the 556th Reconnaissance Squadron flew 68 missions over North Vietnam before being shot down by antiaircraft fire over Hanoi,/home/hamed/projects/av_all/images/20.jpg,https://aise.blob.core.windows.net/aise1/20.jpg,77
Aerial view ,/home/hamed/projects/av_all/images/21.jpg,https://aise.blob.core.windows.net/aise1/21.jpg,21
Pteryx UAV a civilian UAV for aerial photography and photomapping with rollstabilised camera head English Pteryx UAV for aerial photography,/home/hamed/projects/av_all/images/22.jpg,https://aise.blob.core.windows.net/aise1/22.jpg,41
DJI releases the Phantom UAV in January which later became the worlds most popular camera drone English The DJIs Phantom quadcopter,/home/hamed/projects/av_all/images/23.jpg,https://aise.blob.core.windows.net/aise1/23.jpg,80
Drone aerial image from approximately 1500 feet of altitude showing a portion of the eastern side of Battle Mountain with Little Battle Mountain shown in the background on left Camera is facing northeast in the direction of the Amissville post office approximately 4 miles away not shown The sun is setting over the mountain to the west Summer 2015 The eastern slope of Battle Mountain facing northeast towards Amissville Virginia Altitude of approximately 1400 feet taken with a DJI Phantom 3 drone in August 2015,/home/hamed/projects/av_all/images/24.jpg,https://aise.blob.core.windows.net/aise1/24.jpg,-1
The drones can inspect upper parts of the aircraft such as the tail and simplify maintenance checks English Aircraft maintenance dash Q400,/home/hamed/projects/av_all/images/25.jpg,https://aise.blob.core.windows.net/aise1/25.jpg,0
 UARS satellite,/home/hamed/projects/av_all/images/26.jpg,https://aise.blob.core.windows.net/aise1/26.jpg,22
Typical racing drone English Minion 220 racing multirotor by RotorGeeks,/home/hamed/projects/av_all/images/27.jpg,https://aise.blob.core.windows.net/aise1/27.jpg,-1
Aerial view ,/home/hamed/projects/av_all/images/28.jpg,https://aise.blob.core.windows.net/aise1/28.jpg,21
 English Pathfinder NASAs solarpowered remotelypiloted aircraft is shown while it was conducting a series of science flights to highlight the aircrafts science capabilities while collecting imagery of forest and coastal zone ecosystems on Kauai Hawaii,/home/hamed/projects/av_all/images/29.jpg,https://aise.blob.core.windows.net/aise1/29.jpg,-1
 An unmanned aerial vehicle with a camera mounted on board was the focus of a Remote Operated Video Enhanced Receiver demonstration July 28 at the US Air Force Academy The ROVER is basically a laptop with antennas that receives video captured by a UAV that shows realtime nearby dangers allowing ground troops to make quick decisions regarding air strikes US Air Force photoDennis Rogers,/home/hamed/projects/av_all/images/30.jpg,https://aise.blob.core.windows.net/aise1/30.jpg,0
Aerial photography ,/home/hamed/projects/av_all/images/31.jpg,https://aise.blob.core.windows.net/aise1/31.jpg,21
US Marine helicopter on patrol in Somalia as part of the Unified Task Force 1992 Aerial view right side profile of a US Marine helicopter as it flies over a MOGADISHU residential area on a patrol mission to look for signs of hostilities This mission is in direct support of Operation Restore Hope,/home/hamed/projects/av_all/images/32.jpg,https://aise.blob.core.windows.net/aise1/32.jpg,0
ARDrone 20 in flight with outdoor hull English Parrot ARDrone 20 flying Français160 Parrot ARDrone 20 en vol,/home/hamed/projects/av_all/images/33.jpg,https://aise.blob.core.windows.net/aise1/33.jpg,-1
 English Wasp IIII small unmanned aircraft system,/home/hamed/projects/av_all/images/34.jpg,https://aise.blob.core.windows.net/aise1/34.jpg,-1
The RQ16 THawk a Micro Air Vehicle MAV flies over a simulated combat area during an operational test flight 061114N9671T146 China Lake California  The wHoneywell RQ16 THawk wMicro Air Vehicle MAV flies over a simulated combat area during an operational test flight The MAV is in the operational test phase with military Explosive Ordnance Disposal EOD teams to evaluate its shortrange reconnaissance capabilities,/home/hamed/projects/av_all/images/35.jpg,https://aise.blob.core.windows.net/aise1/35.jpg,0
Drone photo from lower Las Piedras River English Drone capture of the Las Piedras River,/home/hamed/projects/av_all/images/36.jpg,https://aise.blob.core.windows.net/aise1/36.jpg,21
Aerial view of Zaanse Schans English Zaanse Schans Drone 2018,/home/hamed/projects/av_all/images/37.jpg,https://aise.blob.core.windows.net/aise1/37.jpg,-1
 Español Drone en vuelo de DJI,/home/hamed/projects/av_all/images/38.jpg,https://aise.blob.core.windows.net/aise1/38.jpg,80
 Early Air Drone,/home/hamed/projects/av_all/images/39.jpg,https://aise.blob.core.windows.net/aise1/39.jpg,38
Pteryx UAV a civilian for aerial photography and photomapping with rollstabilized camera head English Pteryx UAV for aerial photography,/home/hamed/projects/av_all/images/40.jpg,https://aise.blob.core.windows.net/aise1/40.jpg,41
A group photo of aerial demonstrators at the 2005 Naval Unmanned Aerial Vehicle Air Demo St Inigoes Md June 27 2005  A group photo of aerial demonstrators at the 2005 Naval Unmanned Aerial Vehicle Air Demo held at the Webster Field Annex of Naval Air Station Patuxent River Pictured are front to back left to right RQ11A Raven Evolution Dragon Eye NASA FLIC Arcturus T15 Skylark Tern RQ2B Pioneer and Neptune The daylong UAV demonstration highlights unmanned technology and capabilities from the military and industry and offers a unique opportunity to display and demonstrate fullscale systems and hardware This years theme was Focusing Unmanned Technology on the Global War on Terror,/home/hamed/projects/av_all/images/41.jpg,https://aise.blob.core.windows.net/aise1/41.jpg,0
 English Mockup of the Culver XPQ15 target drone,/home/hamed/projects/av_all/images/42.jpg,https://aise.blob.core.windows.net/aise1/42.jpg,0
Aerial view ,/home/hamed/projects/av_all/images/43.jpg,https://aise.blob.core.windows.net/aise1/43.jpg,21
