captions,img_id,img_url,topic
A freight train crossing a railway bridge at the south end of Scarlett Road English A freight train speeds across the railway bridge at the foot of Scarlett Road photographed from Dundas Street West in Toronto Ontario Canada,/home/xtest/projects/ped_all/images/0.jpg,https://aise.blob.core.windows.net/aise2/0.jpg,-1
An inbound streetcar at Central Avenue station in 2019 English An inbound streetcar at Central Avenue station in July 2019,/home/xtest/projects/ped_all/images/1.jpg,https://aise.blob.core.windows.net/aise2/1.jpg,26
A Japanese utility cart known as Rearcar jaリヤカー It can be pulled by either human or bicycle 日本にあるリアカー付きの自転車,/home/xtest/projects/ped_all/images/2.jpg,https://aise.blob.core.windows.net/aise2/2.jpg,11
Chrysler PT Cruiser convertible Deutsch Chrysler PT Cruiser Cabrio,/home/xtest/projects/ped_all/images/3.jpg,https://aise.blob.core.windows.net/aise2/3.jpg,8
A public transport bus in Chandigarh English A Tata Marcopolo bus from CTU India,/home/xtest/projects/ped_all/images/4.jpg,https://aise.blob.core.windows.net/aise2/4.jpg,-1
Entry to the depot looking back to thecity in August 2008 Southbank tram depot Melbourne Port Melbourne end looking towards city,/home/xtest/projects/ped_all/images/5.jpg,https://aise.blob.core.windows.net/aise2/5.jpg,47
 English Gunns Loop for TTC streetcars and buses in Toronto,/home/xtest/projects/ped_all/images/6.jpg,https://aise.blob.core.windows.net/aise2/6.jpg,37
 Art of Transportation,/home/xtest/projects/ped_all/images/7.jpg,https://aise.blob.core.windows.net/aise2/7.jpg,0
SMRT Buses Alexander Setanta bodied step entrance SB220LT in Singapore in July 2006 Alexander Setanta Sentanta bodied DAF SB220LT TIB716B built 1995 in Singapore operated by SMRT Buses Ltd,/home/xtest/projects/ped_all/images/8.jpg,https://aise.blob.core.windows.net/aise2/8.jpg,4
 walkway from local bus island to train station and regional bus center,/home/xtest/projects/ped_all/images/9.jpg,https://aise.blob.core.windows.net/aise2/9.jpg,-1
 Newmarket Bus Terminal  used by GO Transit and York Region Transit,/home/xtest/projects/ped_all/images/10.jpg,https://aise.blob.core.windows.net/aise2/10.jpg,-1
Light effects in the pedestrian transit tunnel ,/home/xtest/projects/ped_all/images/11.jpg,https://aise.blob.core.windows.net/aise2/11.jpg,-1
